"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"220",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","connect_with_people",1,"directly_affected_questions"
"221",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","future_career",1,"directly_affected_questions"
"222",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","effort",1,"directly_affected_questions"
"223",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","become_bilingual.1",1,NA
"224",7,1,"",1,"","",21,2,1,1,"UW",1,"FR","family_languages",2,NA
"225",8,1,"",1,"","",21,1,1,1,"NIU",2,"","fun_studying_languages",2,"semi_affected_questions"
"226",8,1,"",1,"","",21,1,1,1,"NIU",2,"","boring_spanish_class",5,"semi_affected_questions"
"227",8,1,"",1,"","",21,1,1,1,"NIU",2,"","interesting_spanish_cultures",3,"semi_affected_questions"
"228",8,1,"",1,"","",21,1,1,1,"NIU",2,"","interesting_studying_languages",3,"semi_affected_questions"
"229",8,1,"",1,"","",21,1,1,1,"NIU",2,"","difficult_classroom_learning",3,"least_affected_questions"
"230",8,1,"",1,"","",21,1,1,1,"NIU",2,"","valuable",3,"most_interested_qs"
"231",8,1,"",1,"","",21,1,1,1,"NIU",2,"","no_accent",5,"most_interested_qs"
"232",8,1,"",1,"","",21,1,1,1,"NIU",2,"","important_spanish",3,"most_interested_qs"
"233",8,1,"",1,"","",21,1,1,1,"NIU",2,"","beautiful",3,"semi_affected_questions"
"234",8,1,"",1,"","",21,1,1,1,"NIU",2,"","codeswitch_rude",4,"most_interested_qs"
"235",8,1,"",1,"","",21,1,1,1,"NIU",2,"","smarter_two_languages",3,"semi_affected_questions"
"236",8,1,"",1,"","",21,1,1,1,"NIU",2,"","started_younger",5,"semi_affected_questions"
"237",8,1,"",1,"","",21,1,1,1,"NIU",2,"","become_bilingual",4,"directly_affected_questions"
"238",8,1,"",1,"","",21,1,1,1,"NIU",2,"","admire_multilinguals",4,"semi_affected_questions"
"239",8,1,"",1,"","",21,1,1,1,"NIU",2,"","like_langauges",2,"semi_affected_questions"
"240",8,1,"",1,"","",21,1,1,1,"NIU",2,"","interest_languages",3,"semi_affected_questions"
"241",8,1,"",1,"","",21,1,1,1,"NIU",2,"","like_spanish",3,"semi_affected_questions"
"242",8,1,"",1,"","",21,1,1,1,"NIU",2,"","like_hearing_spanish",2,"semi_affected_questions"
"243",8,1,"",1,"","",21,1,1,1,"NIU",2,"","communicating_spanish_speakers",1,"semi_affected_questions"
"244",8,1,"",1,"","",21,1,1,1,"NIU",2,"","excited_spanish_class",2,"least_affected_questions"
"245",8,1,"",1,"","",21,1,1,1,"NIU",2,"","outside_engagement",2,"least_affected_questions"
